,datetime,eo_code,motohours,eo_model_name,eo_model_id,eo_description,level_1_description,operation_start_date,operation_start_date_ts,motohours_date_ts,motohours_measure_ts
3975,2022-03-09,100000065606,90433.424,Самосвалы CAT 785C,65,Самосвал карьерный 785C №501,Олимпиадинский ГОК,2010-12-16,1292457600,1646784000,354326400
3976,2022-03-09,100000062385,52876.843,Самосвалы CAT 785C,65,Самосвал карьерный 785C №445,Олимпиадинский ГОК,2014-06-19,1403136000,1646784000,243648000
3977,2022-03-09,100000062387,56590.588,Самосвалы CAT 785C,65,Самосвал карьерный 785C №444,Олимпиадинский ГОК,2014-06-19,1403136000,1646784000,243648000
3978,2022-03-09,100000062388,59436.929,Самосвалы CAT 785C,65,Самосвал карьерный 785C №443,Олимпиадинский ГОК,2014-06-19,1403136000,1646784000,243648000
3979,2022-03-09,100000062389,56545.147,Самосвалы CAT 785C,65,Самосвал карьерный 785C №442,Олимпиадинский ГОК,2014-06-19,1403136000,1646784000,243648000
3980,2022-03-09,100000062386,56492.503,Самосвалы CAT 785C,65,Самосвал карьерный 785C №441,Олимпиадинский ГОК,2014-06-19,1403136000,1646784000,243648000
3981,2022-03-09,100000062399,62355.181,Самосвалы CAT 785C,65,Самосвал карьерный 785C №440,Олимпиадинский ГОК,2013-12-13,1386892800,1646784000,259891200
3982,2022-03-09,100000062398,60511.881,Самосвалы CAT 785C,65,Самосвал карьерный 785C №439,Олимпиадинский ГОК,2013-12-13,1386892800,1646784000,259891200
3983,2022-03-09,100000062397,63509.026,Самосвалы CAT 785C,65,Самосвал карьерный 785C №438,Олимпиадинский ГОК,2013-12-31,1388448000,1646784000,258336000
3984,2022-03-09,100000062396,62889.57,Самосвалы CAT 785C,65,Самосвал карьерный 785C №437,Олимпиадинский ГОК,2013-12-13,1386892800,1646784000,259891200
3985,2022-03-09,100000062395,62806.043,Самосвалы CAT 785C,65,Самосвал карьерный 785C №436,Олимпиадинский ГОК,2013-12-31,1388448000,1646784000,258336000
3986,2022-03-09,100000062390,66818.987,Самосвалы CAT 785C,65,Самосвал карьерный 785C №435,Олимпиадинский ГОК,2013-07-31,1375228800,1646784000,271555200
3987,2022-03-09,100000062392,65031.459,Самосвалы CAT 785C,65,Самосвал карьерный 785C №434,Олимпиадинский ГОК,2013-07-31,1375228800,1646784000,271555200
3988,2022-03-09,100000062394,65550.136,Самосвалы CAT 785C,65,Самосвал карьерный 785C №433,Олимпиадинский ГОК,2013-07-31,1375228800,1646784000,271555200
3989,2022-03-09,100000062393,60319.475,Самосвалы CAT 785C,65,Самосвал карьерный 785C №432,Олимпиадинский ГОК,2013-07-31,1375228800,1646784000,271555200
3990,2022-03-09,100000062391,65131.779,Самосвалы CAT 785C,65,Самосвал карьерный 785C №431,Олимпиадинский ГОК,2013-07-31,1375228800,1646784000,271555200
3991,2022-03-09,100000062384,80347.917,Самосвалы CAT 785C,65,Самосвал карьерный 785C №430,Олимпиадинский ГОК,2011-08-22,1313971200,1646784000,332812800
3992,2022-03-09,100000062382,81049.483,Самосвалы CAT 785C,65,Самосвал карьерный 785C №428,Олимпиадинский ГОК,2011-07-31,1312070400,1646784000,334713600
3993,2022-03-09,100000062381,82143.057,Самосвалы CAT 785C,65,Самосвал карьерный 785C №427,Олимпиадинский ГОК,2011-07-31,1312070400,1646784000,334713600
