,datetime,eo_code,motohours
31448,2021-11-18,100000065635,59825.813
31450,2021-11-18,100000065633,57109.846
31452,2021-11-18,100000065631,56361.233
31454,2021-11-18,100000065630,59852.085
31456,2021-11-18,100000065629,59978.832
31458,2021-11-18,100000065624,61566.007
31460,2021-11-18,100000065623,62982.982
31461,2021-11-18,100000062399,59959.915
31464,2021-11-18,100000062398,58089.971
31465,2021-11-18,100000062396,60776.027
31468,2021-11-18,100000062395,60761.038
31469,2021-11-18,100000062388,57003.882
31471,2021-11-18,100000062386,54055.444
31473,2021-11-18,100000065638,69145.523
31475,2021-11-18,100000065981,41060.385
31477,2021-11-18,100000065980,41505.503
31480,2021-11-18,100000062380,78601.203
31481,2021-11-18,100000062378,94590.479
31484,2021-11-18,100000062382,78572.6
31485,2021-11-18,100000065976,81859.931
31488,2021-11-18,100000065968,81260.874
31490,2021-11-18,100000065615,83424.312
31492,2021-11-18,100000065967,78498.312
31494,2021-11-18,100000065608,83088.649
31495,2021-11-18,100000065628,52709.549
31497,2021-11-18,100000065626,61933.871
31499,2021-11-18,100000062397,61089.717
31502,2021-11-18,100000062385,50405.723
31504,2021-11-18,100000065979,40790.434
31505,2021-11-18,100000062397,61077.807
31506,2021-11-18,100000065978,40974.812
31508,2021-11-18,100000062388,56993.506
31509,2021-11-18,100000062395,60752.308
31510,2021-11-18,100000065619,78917.49
31511,2021-11-18,100000062391,62749.883
31512,2021-11-18,100000062390,64440.304
31513,2021-11-18,100000062389,54421.167
31514,2021-11-18,100000062394,63165.866
31515,2021-11-18,100000008673,29887.57
31518,2021-11-18,100000065606,88007.307
31520,2021-11-18,100000062372,95120.923
31522,2021-11-18,100000062370,99708.026
31524,2021-11-18,100000065632,57157.142
31526,2021-11-18,100000065627,60433.291
31527,2021-11-18,100000065626,61922.441
31530,2021-11-18,100000065625,59305.18
31531,2021-11-18,100000062392,63240.582
31536,2021-11-18,100000065643,68840.885
31537,2021-11-18,100000065641,69927.787
31540,2021-11-18,100000062384,77894.309
31542,2021-11-18,100000065977,40119.847
31543,2021-11-18,100000065640,69760.278
31545,2021-11-18,100000065639,71127.575
31548,2021-11-18,100000028868,94998.526
31549,2021-11-18,100000065636,57068.376
31551,2021-11-18,100000065634,58534.892
31554,2021-11-18,100000065631,56349.233
31556,2021-11-18,100000065624,61555.527
31558,2021-11-18,100000065623,62971.462
31560,2021-11-18,100000062396,60764.667
31563,2021-11-18,100000062387,54184.558
31566,2021-11-18,100000065971,81333.823
31567,2021-11-18,100000065970,83573.006
31570,2021-11-18,100000065969,78289.746
31571,2021-11-18,100000065620,83415.601
31574,2021-11-18,100000065617,81730.266
31575,2021-11-18,100000065614,83985.247
31577,2021-11-18,100000065613,84821.199
31580,2021-11-18,100000065611,84009.826
31582,2021-11-18,100000065609,80899.671
31584,2021-11-18,100000065607,82670.312
31586,2021-11-18,100000062376,93222.077
31588,2021-11-18,100000062371,96030.063
31590,2021-11-18,100000065979,40778.654
31591,2021-11-18,100000065638,69143.283
31593,2021-11-18,100000065637,71917.896
31595,2021-11-18,100000065633,57098.576
31598,2021-11-18,100000065629,59967.202
31599,2021-11-18,100000062399,59947.945
31605,2021-11-18,100000065976,81848.131
31607,2021-11-18,100000065622,81321.98
31608,2021-11-18,100000065618,83278.334
31610,2021-11-18,100000065967,78487.152
31613,2021-11-18,100000062383,79947.484
31615,2021-11-18,100000062382,78563.64
31616,2021-11-18,100000062381,79743.518
31618,2021-11-18,100000065975,77743.339
31620,2021-11-18,100000065974,80853.136
31623,2021-11-18,100000065972,81404.086
31625,2021-11-18,100000065968,81249.044
31626,2021-11-18,100000065616,85147.379
31629,2021-11-18,100000065615,83424.312
31630,2021-11-18,100000065612,86074.28
31634,2021-11-18,100000065608,83076.649
31636,2021-11-18,100000062380,78590.153
31638,2021-11-18,100000062379,94007.825
31639,2021-11-18,100000062378,94579.749
31641,2021-11-18,100000062377,94780.189
31644,2021-11-18,100000062373,95102.757
31646,2021-11-18,100000062369,96089.087
31647,2021-11-18,100000065981,41048.875
31650,2021-11-18,100000065980,41494.423
31652,2021-11-18,100000065635,59814.633
31653,2021-11-18,100000065630,59840.715
31655,2021-11-18,100000065628,52698.309
31657,2021-11-18,100000062398,58079.955
31660,2021-11-18,100000062393,57857.191
31663,2021-11-18,100000062386,54043.764
31665,2021-11-18,100000062385,50393.773
31666,2021-11-17,100000062379,93995.885
31669,2021-11-18,100000008674,29205.75
31670,2021-11-17,100000008674,29193.75
31671,2021-11-18,100000008673,29875.75
31672,2021-11-17,100000008673,29864.66
31674,2021-11-17,100000062397,61066.9
31676,2021-11-17,100000062394,63155.386
31678,2021-11-17,100000062393,57846.297
31679,2021-11-17,100000062389,54410.69
31682,2021-11-17,100000062378,94567.819
31684,2021-11-17,100000062376,93210.107
31686,2021-11-17,100000062371,96027.253
31687,2021-11-17,100000065634,58522.892
31689,2021-11-17,100000065976,81836.631
31691,2021-11-17,100000065971,81323.016
31693,2021-11-17,100000065620,83406.811
31695,2021-11-17,100000065615,83424.312
31696,2021-11-17,100000065613,84810.269
31699,2021-11-17,100000065612,86062.28
31700,2021-11-17,100000065607,82658.512
31703,2021-11-17,100000065979,40767.589
31705,2021-11-17,100000065643,68828.885
31706,2021-11-17,100000065638,69143.283
31709,2021-11-17,100000065637,71906.006
31711,2021-11-17,100000065981,41036.885
31713,2021-11-17,100000065980,41482.603
31714,2021-11-17,100000065978,40963.776
31716,2021-11-17,100000062384,77882.529
31718,2021-11-17,100000062383,79935.764
31721,2021-11-17,100000065975,77731.439
31723,2021-11-17,100000065972,81393.444
31724,2021-11-17,100000065618,83266.334
31727,2021-11-17,100000065606,87995.307
31729,2021-11-17,100000062392,63239.032
31731,2021-11-17,100000062391,62739.285
31732,2021-11-17,100000062390,64429.42
31734,2021-11-17,100000062369,96077.357
31736,2021-11-17,100000065627,60421.291
31738,2021-11-17,100000065625,59294.489
31740,2021-11-17,100000062399,59937.071
31742,2021-11-17,100000062395,60741.247
31744,2021-11-17,100000065635,59804.123
31746,2021-11-17,100000065629,59955.202
31748,2021-11-17,100000065626,61910.531
31750,2021-11-17,100000065624,61543.527
31751,2021-11-17,100000062396,60752.997
31753,2021-11-17,100000062388,56982.492
31755,2021-11-17,100000062387,54173.068
31757,2021-11-17,100000065636,57057.346
31759,2021-11-17,100000065633,57086.576
31761,2021-11-17,100000065632,57145.142
31763,2021-11-17,100000065641,69915.787
31766,2021-11-17,100000065640,69760.278
31768,2021-11-17,100000065639,71116.065
31769,2021-11-17,100000065622,81310.48
31772,2021-11-17,100000065970,83562.266
31774,2021-11-17,100000065619,78906.504
31775,2021-11-17,100000065617,81718.266
31777,2021-11-17,100000065967,78478.382
31780,2021-11-17,100000065611,83998.426
31782,2021-11-17,100000065977,40107.987
31784,2021-11-17,100000065631,56337.343
31785,2021-11-17,100000065630,59828.715
31787,2021-11-17,100000065628,52686.309
31790,2021-11-17,100000065623,62959.462
31792,2021-11-17,100000062398,58068.125
31794,2021-11-17,100000062386,54031.954
31796,2021-11-17,100000062385,50381.813
31799,2021-11-17,100000062377,94769.296
