Документ измерений,Дата,Показания счетчика,ЕдиницаИзмерПризнака,Единица оборудования
30794358,3/11/2022,"1157818,773",км,100000065609
30794393,3/11/2022,"85654,065",МТЧ,100000065608
30794315,3/11/2022,"1107078,333",км,100000065608
30794296,3/11/2022,"85208,541",МТЧ,100000065607
30794259,3/11/2022,"1120070,713",км,100000065607
30794269,3/11/2022,"90493,424",МТЧ,100000065606
30794232,3/11/2022,"1200793,872",км,100000065606
30794204,3/11/2022,"29189,000",МТЧ,100000084409
30794212,3/11/2022,"52933,030",МТЧ,100000062385
30794190,3/11/2022,"370992,000",км,100000084409
30794182,3/11/2022,"722744,902",км,100000062385
30794151,3/11/2022,"56649,618",МТЧ,100000062387
30794137,3/11/2022,"728179,460",км,100000062387
30794123,3/11/2022,"56597,135",МТЧ,100000062389
30794106,3/11/2022,"746857,894",км,100000062389
30794069,3/11/2022,"56550,163",МТЧ,100000062386
30794074,3/11/2022,"733224,586",км,100000062386
30794018,3/11/2022,"62401,783",МТЧ,100000062399
30793970,3/11/2022,"784455,803",км,100000062399
30793986,3/11/2022,"60571,481",МТЧ,100000062398
30793972,3/11/2022,"781766,444",км,100000062398
30793952,3/11/2022,"29189,000",МТЧ,100000084408
30793921,3/11/2022,"367280,000",км,100000084408
30793913,3/11/2022,"62945,655",МТЧ,100000062396
30793903,3/11/2022,"802036,734",км,100000062396
30793863,3/11/2022,"821273,293",км,100000062395
30793829,3/11/2022,"66873,636",МТЧ,100000062390
30793812,3/11/2022,"873246,217",км,100000062390
30793780,3/11/2022,"65088,410",МТЧ,100000062392
30793793,3/11/2022,"829691,524",км,100000062392
30793784,3/11/2022,"65607,475",МТЧ,100000062394
30793680,3/11/2022,"831135,064",км,100000062394
30793757,3/11/2022,"60376,957",МТЧ,100000062393
30793739,3/11/2022,"782525,797",км,100000062393
30793721,3/11/2022,"27726,000",МТЧ,100000084407
30793610,3/11/2022,"343568,000",км,100000084407
30793682,3/11/2022,"65189,164",МТЧ,100000062391
30793665,3/11/2022,"825713,592",км,100000062391
30793637,3/11/2022,"80406,687",МТЧ,100000062384
30793623,3/11/2022,"991334,681",км,100000062384
